shop,pref,ward,stations,genre,genres,tabelog_score,awards,feature,source_url
支那ソバ おさだ,東京都,板橋区,板橋区・大山駅,清湯醤油（ワンタン麺）,ワンタン麺/醤油・中華そば,3.83,百名店,「かづ屋」出身、煮干し＋動物系の清湯／駅174m,https://tabelog.com/tokyo/A1322/A132203/13266841
らーめん3000,東京都,豊島区,豊島区・駒込駅,ラーメン,その他・創作,3.83,,駒込トップの評価,https://tabelog.com/tokyo/A1323/A132301/13308596
ラーメン二郎 横浜関内店,神奈川県,横浜中心部,横浜中心部,二郎系,二郎・二郎系,3.83,百名店,関内エリア1位、汁なしも人気,https://tabelog.com/ramen/kanagawa/A1401/A140104/rank
味噌ラーメン 雪ぐに,神奈川県,横浜南西部,横浜南西部・中田駅,味噌,味噌,3.83,百名店,新潟・妙高のこだわり味噌、泉区トップ、水休（中田）,https://tabelog.com/kanagawa/A1401/A140304/14082640
中華そば 西川,東京都,世田谷区,世田谷区・千歳船橋駅,煮干し・醤油中華そば,煮干し/醤油・中華そば,3.82,百名店,醤油・塩・鶏白湯いずれも高品質,https://tabelog.com/ramen/tokyo/A1318/A131813/rank
燎（かがりび）,東京都,中央区,中央区・新富町駅,ラーメン,その他・創作,3.82,百名店,百名店2025、全方位ハイレベル（新富町〜八丁堀）,https://tabelog.com/tokyo/A1313/A131301/13296303
MENSHO,東京都,文京区,文京区・護国寺駅,創作,その他・創作,3.82,百名店,庄野智治氏のフラッグシップ、雑味のない重層スープ,https://tabelog.com/tokyo/A1323/A132302/R3966/rstLst/ramen
RAMEN MATSUI,東京都,新宿区,新宿区・新宿御苑前駅,ラーメン（完全予約制）,その他・創作,3.82,百名店,エリア最高点,https://tabelog.com/ramen/tokyo/A1304/A130402/rank
だしと麺 遊泳,東京都,杉並区,杉並区・東高円寺駅,油そば・和出汁ラーメン,油そば・まぜそば・汁なし,3.82,百名店,うどん級の超極太手打ち麺×和出汁,https://tabelog.com/tokyo/A1319/A131904/13287534
らぁ麺 すぎ本,神奈川県,横浜北部,横浜北部・青葉台駅,醤油・淡麗,醤油・中華そば,3.82,百名店,横浜北部トップ級、上品な醤油らぁ麺,https://tabelog.com/kanagawa/A1401/A140202/14080372
麺処 秋もと,神奈川県,横浜北部,横浜北部・市が尾駅,醤油・つけ麺,つけ麺/醤油・中華そば,3.82,百名店,鰹醤油つけ麺、エリア最高評価（市が尾、火水休）,https://tabelog.com/kanagawa/A1401/A140201/14086053
らーめん森や。,神奈川県,横浜南西部,横浜南西部・本郷台駅,ラーメン,その他・創作,3.82,百名店,エリア1位の実力店,https://tabelog.com/ramen/kanagawa/A1401/A140309/rank
らーめん かねかつ,埼玉県,さいたま市,さいたま市・北浦和駅,濃厚豚骨醤油,豚骨・博多/醤油・中華そば,3.81,百名店,浦和区エリア最高峰、北浦和駅至近,https://tabelog.com/ramen/saitama/A1101/A110102/rank
えーちゃん食堂,東京都,品川区,品川区・目黒駅,ラーメン,その他・創作,3.81,百名店,百名店2025,https://tabelog.com/ramen/tokyo/A1316/A131601/rank
一条流がんこ総本家分家 四谷荒木町,東京都,新宿区,新宿区・曙橋駅,醤油（ガツン系）,醤油・中華そば,3.81,百名店,1983年創業の伝説的店、連日行列,https://tabelog.com/ramen/tokyo/A1309/A130903/rank
中華ソバ 伊吹,東京都,板橋区,板橋区・志村坂上駅,濃厚煮干し中華そば,煮干し/醤油・中華そば,3.81,百名店,「東京濃厚煮干のキング」、都内屈指／駅6分,https://tabelog.com/tokyo/A1322/A132205/13163874
中華そば べんてん,東京都,板橋区,板橋区・地下鉄成増駅,豚骨魚介（二郎系large）,二郎・二郎系/豚骨・博多/貝・魚介系,3.81,,高田馬場「べんてん」系譜、池袋大勝軒インスパイア,https://tabelog.com/ramen/tokyo/A1322/A132204/rank
ラーメン フリーバーズ,神奈川県,横浜南西部,横浜南西部・本郷台駅,ラーメン,その他・創作,3.81,百名店,百名店2025、コスパも良好,https://tabelog.com/ramen/kanagawa/A1401/A140309/rank
純手打ち だるま,東京都,中野区,中野区・中野富士見町駅,手打ち麺×鶏ガラ醤油,醤油・中華そば,3.8,百名店,駅徒歩1分。住所は杉並区和田だが駅至近の名店,https://tabelog.com/tokyo/A1319/A131903/13218715
らぁめん ご恩,東京都,中野区,中野区・野方駅,塩・担々（鶏清湯）,担々麺・四川・麻婆/塩/醤油・中華そば,3.8,百名店,国産鶏ガラの淡麗鶏清湯／駅9分・売切れ終了,https://tabelog.com/tokyo/A1321/A132104/R7731/rstLst/ramen
Homemade Ramen 青麦,東京都,大田区,大田区・大森駅,醤油（自家製麺）,醤油・中華そば,3.8,,麦苗の姉妹店、淡麗〜濃厚を選択／大森海岸6分,https://retty.me/area/PRE13/ARE16
麺屋 吉左右（きっそう）,東京都,江東区,江東区・木場駅,魚介系ラーメン・つけ麺,つけ麺/貝・魚介系,3.8,百名店,区内最高評価級。営業は月・木・土のみ／駅5分,https://tabelog.com/tokyo/A1313/A131303/13021140
櫻井中華そば店,神奈川県,横浜南西部,横浜南西部・保土ケ谷駅,醤油中華そば,醤油・中華そば,3.8,百名店,白河系の中太縮れ＋上品醤油、東口3分・水休,https://tabelog.com/kanagawa/A1401/A140301/14068897
中華そば 児ノ木,東京都,中野区,中野区・落合駅,純煮干しそば,煮干し,3.79,百名店,落合駅至近の百名店（所在は新宿区上落合・参考）,https://tabelog.com/tokyo/A1319/A131901/13154006
キング製麺,東京都,北区,北区・王子駅,白だしラーメン,その他・創作,3.79,ビブグルマン,「らぁめん小池」「にし乃」系、澄んだ白醤油／駅前,https://san-tatsu.jp/articles/119030
中華そば屋 伊藤,東京都,北区,北区・王子神谷駅,濃厚煮干し（そば/肉そばのみ）,煮干し,3.79,ビブグルマン;百名店,濃厚煮干しブームの火付け役。駅から約12分とやや遠いが特記,https://tabelog.com/tokyo/A1323/A132304/13008779
麺処 晴（はる）,東京都,台東区,台東区・入谷駅,煮干し（醤油／塩）・つけ麺,煮干し/つけ麺/塩/醤油・中華そば,3.79,百名店,入谷2番出口すぐ、煮干しの名店,https://tabelog.com/tokyo/A1311/A131104/13143115
らぁめん 山と樹,東京都,杉並区,杉並区・高円寺駅,ラーメン,その他・創作,3.79,百名店,完成度の高い一杯,https://tabelog.com/tokyo/A1319/A131904/13204607
麺尊 RAGE,東京都,杉並区,杉並区・西荻窪駅,軍鶏そば・煮干し,煮干し,3.79,ビブグルマン;百名店,"100%軍鶏出汁＋醤油の""ネオ東京""",https://tabelog.com/tokyo/A1319/A131907/13178309
支那そば たんたん亭,東京都,杉並区,杉並区・浜田山駅,醤油・つけ麺,つけ麺/醤油・中華そば,3.79,,「たんたん亭系」総本山、魚介効いた琥珀醤油／駅1分,https://tabelog.com/tokyo/C13115/C36690/rstLst/ramen
あさひ町内会,東京都,板橋区,板橋区・板橋区役所前駅,札幌味噌,味噌/ご当地・地域系,3.79,百名店,札幌「すみれ」13年修行、連日行列／駅4分,https://tabelog.com/ramen/tokyo/A1322/A132205/rank
大島,東京都,江戸川区,江戸川区・船堀駅,札幌味噌,味噌/ご当地・地域系,3.79,百名店,「すみれ」出身、TRY味噌部門殿堂入り,https://tabelog.com/tokyo/A1312/A131205/13155875
こうかいぼう,東京都,江東区,江東区・門前仲町駅,塩・煮干清湯／つけ麺,煮干し/つけ麺/塩/醤油・中華そば,3.79,百名店,「毎日食べたい一杯」、駅6分・スープ切れ終い,https://tabelog.com/tokyo/A1313/A131303/13005052
麺や 金時（Golden time）,東京都,練馬区,練馬区・小竹向原駅,塩・汁なし担々麺,担々麺・四川・麻婆/油そば・まぜそば・汁なし/塩,3.79,百名店,区内トップクラスの名店／駅7-8分（練馬区小竹町）,https://tabelog.com/tokyo/A1321/A132101/13139195
ラーメン屋 トイ・ボックス,東京都,荒川区,荒川区・南千住駅,鶏×醤油（塩・味噌も）,味噌/塩/醤油・中華そば,3.79,ビブグルマン;百名店,百名店＋ビブグルマン5年連続。「都内最高峰の醤油」,https://tabelog.com/tokyo/A1324/A132401/13162973
Ramen にじゅうぶんのいち（Ramen 1/20）,東京都,荒川区,荒川区・東尾久三丁目停留場,塩そば（鶏）,塩,3.79,ビブグルマン;百名店,鶏の旨味あふれる塩そば＋鴨チャーシュー／停留場2分,https://tabelog.com/tokyo/A1324/A132401/13147594
麺屋一燈,東京都,葛飾区,葛飾区・新小岩駅,鶏白湯魚介（濃厚）,鶏白湯/貝・魚介系,3.79,,新小岩を全国区にした超有名行列店,https://tabelog.com/tokyo/A1312/A131204/13111737
つけ麺 道,東京都,葛飾区,葛飾区・亀有駅,濃厚豚骨魚介つけ麺,つけ麺/豚骨・博多/貝・魚介系,3.79,百名店,都内屈指の行列店、北口3分・現金のみ,https://tabelog.com/tokyo/A1324/A132403/13094595
日陰（ひかげ）,神奈川県,川崎市南部,川崎市南部・鹿島田駅,ラーメン（極太麺・魚介）,貝・魚介系,3.79,百名店,幸区最高評価、極太麺が主役、連日行列（南加瀬、駅から約15分）,https://tabelog.com/kanagawa/A1405/A140503/14081996
八雲（やくも）,東京都,世田谷区,世田谷区・池尻大橋駅,ワンタン麺,ワンタン麺,3.78,,白だし系の上品スープ＋大ぶりワンタン、エリア1位／東口4分,https://tabelog.com/ramen/tokyo/A1317/A131705/rank
麺や 七彩,東京都,中央区,中央区・新富町駅,醤油（喜多方・自家製麺）,醤油・中華そば/ご当地・地域系,3.78,百名店,注文ごとに打つ自家製麺。百名店2025（八丁堀）,https://tabelog.com/tokyo/A1302/A130203/13184399
かしわぎ,東京都,中野区,中野区・東中野駅,醤油・塩（鶏清湯系）,塩/醤油・中華そば,3.78,百名店,鶏清湯の醤油・塩で全国区／徒歩4分,https://tabelog.com/tokyo/A1319/A131901/13209326
煮干そば 流。,東京都,北区,北区・十条駅,煮干しそば,煮干し,3.78,百名店,6種煮干しのキレ＆ビター／南口1分,https://tabelog.com/tokyo/A1323/A132304/13175140
三馬路 東京店,東京都,千代田区,千代田区・神田駅,醤油・塩（牡蠣）,貝・魚介系/塩/醤油・中華そば,3.78,,旬の限定「牡蠣そば」で知られる,https://tabelog.com/ramen/tokyo/A1310/A131002/rank
つけめん金龍,東京都,千代田区,千代田区・淡路町駅,つけ麺（昆布水）,つけ麺,3.78,,三段階で味わう昆布水つけ麺,https://tabelog.com/ramen/tokyo/A1310/A131002/rank
つけそば 神田 勝本,東京都,千代田区,千代田区・神保町駅,つけ麺（濃厚魚介豚骨）,つけ麺/豚骨・博多/貝・魚介系,3.78,,行列必至のつけ麺名店,https://tabelog.com/ramen/tokyo/A1310/A131003/rank
らーめん改（かい）,東京都,台東区,台東区・田原町駅,貝出汁（塩）,貝・魚介系/塩,3.78,,看板「貝塩らーめん」＋自家製太縮れ麺,https://tabelog.com/ramen/tokyo/A1311/A131103/rank
らーめん改,東京都,台東区,台東区・新御徒町駅 / 台東区・蔵前駅,貝出汁（塩）,貝・魚介系/塩,3.78,,蔵前・田原町・新御徒町徒歩圏,https://tabelog.com/ramen/tokyo/A1311/A131103/rank
中華そば 和渦 TOKYO,東京都,品川区,品川区・北品川駅,中華そば・つけ麺（無化調）,つけ麺/醤油・中華そば,3.78,百名店,もち小麦自家製麺・山水地鶏、「特製醤油そば」／駅1-2分・日休,https://tabelog.com/tokyo/A1314/A131405/13233678
らーめん 飛粋（ひすい）,東京都,大田区,大田区・蒲田駅,家系,家系,3.78,,蒲田の家系代表格、乳化まろやか豚骨醤油／京急蒲田2分,https://tabelog.com/ramen/tokyo/A1315/A131503/rank
煮干しつけ麺 宮元,東京都,大田区,大田区・蒲田駅,つけ麺（濃厚煮干）,煮干し/つけ麺,3.78,,「一燈」系譜、ドロ系濃厚煮干（蒲田・蓮沼中間）,https://tabelog.com/ramen/tokyo/A1315/A131503/rank
らーめん亭 ひなり竜王,東京都,大田区,大田区・梅屋敷駅・大森町駅,淡麗醤油・つけ麺,つけ麺/醤油・中華そば,3.78,百名店,和渦グループ、木桶醤油×炒め野菜の「三位一体」,https://tabelog.com/tokyo/A1315/A131503/13276299
ラーメン大至,東京都,文京区,文京区・湯島駅,中華そば・つけ麺,つけ麺/醤油・中華そば,3.78,百名店,質朴な清湯醤油中華そば,https://tabelog.com/tokyo/A1310/A131002/13042832
らぁ麺やまぐち,東京都,新宿区,新宿区・西早稲田駅,鶏（鶏そば／昆布水つけ麺）,つけ麺,3.78,ビブグルマン;百名店,鶏清湯の完成度で全国区,http://www.ramen-yamaguchi.com/original.html
there is ramen,東京都,杉並区,杉並区・荻窪駅,煮干し系,煮干し,3.78,百名店,苦味少なめの分厚い煮干し,https://tabelog.com/tokyo/A1319/A131906/13277729
西永福の煮干箱,東京都,杉並区,杉並区・西永福駅,煮干し,煮干し,3.78,百名店,RAIK系列、6種以上の煮干し濃厚／北口1-2分,https://tabelog.com/tokyo/A1318/A131805/13263789
寿製麺 よしかわ 西台駅前店,東京都,板橋区,板橋区・西台駅,白醤油・煮干し（淡麗）,煮干し/醤油・中華そば,3.78,百名店,駅3分,https://tabelog.com/ramen/tokyo/A1322/A132205/rank
はやし,東京都,渋谷区,渋谷区・渋谷駅,醤油（無化調・鶏ガラ清湯）,醤油・中華そば,3.78,百名店,渋谷の顔。20年以上支持される無化調醤油,https://tabelog.com/tokyo/A1303/A130301/13003367
麺処 びぎ屋 学芸大学本店,東京都,目黒区,目黒区・学芸大学駅,醤油らーめん,醤油・中華そば,3.78,ビブグルマン;百名店,鶏節など和出汁、裏メニューの柚子白醤油も／エリア1位,https://tabelog.com/tokyo/A1317/A131702/13093976
長男、ほそのたかし,東京都,練馬区,練馬区・江古田駅,つけ麺,つけ麺,3.78,百名店,超極太麺＋3日炊きの濃厚豚骨魚介／駅2分,https://tabelog.com/tokyo/A1321/A132101/13261549
丿貫 福富町本店,神奈川県,横浜中心部,横浜中心部,濃厚煮干,煮干し,3.78,百名店,煮干しの名店、関内5分,https://tabelog.com/ramen/kanagawa/A1401/A140104/rank
らーめん 鶏喰（とりくい）,神奈川県,横浜中心部,横浜中心部,醤油・塩,塩/醤油・中華そば,3.78,ビブグルマン;百名店,ビブグルマン掲載歴、吉野町・阪東橋圏,https://tabelog.com/ramen/kanagawa/A1401/A140306/rank
支那そばや 本店,神奈川県,横浜南西部,横浜南西部・戸塚駅,醤油・塩らぁ麺,塩/醤油・中華そば,3.78,百名店,「ラーメンの鬼」佐野実創業の聖地、駅5分・水休,https://tabelog.com/kanagawa/A1401/A140305/14014445
麺処 有彩（ありさ）,埼玉県,川口・蕨・戸田,川口・蕨・戸田・西川口駅,鶏清湯・濃厚の中華そば,醤油・中華そば,3.77,百名店,東十条「ほん田」出身、西口2分、2025年2月再開,https://tabelog.com/saitama/A1102/A110201/11038476
ぜんや,埼玉県,西武沿線エリア,西武沿線エリア・新座駅,塩,塩,3.77,百名店,黄金色の極上塩スープの名店、駅7分・火水休（2026/1再開、臨時休業注意）,https://tabelog.com/saitama/A1103/A110301/11000014
煮干乱舞,埼玉県,越谷・草加・春日部,越谷・草加・春日部・武里駅,煮干し（特濃醤油）,煮干し/醤油・中華そば,3.77,百名店,EAST百名店9年連続、西口1分,https://tabelog.com/saitama/A1102/A110204/11043059
純手打ち 麺と未来,東京都,世田谷区,世田谷区・下北沢駅,手打ち中華そば,醤油・中華そば,3.77,ビブグルマン,エリア1位、コシの強い手打ち麺／ビブグルマン歴,https://tabelog.com/ramen/tokyo/A1318/A131802/rank
六厘舎 東京駅 東京ラーメンストリート店,東京都,中央区,中央区・東京駅,つけ麺,つけ麺,3.77,,濃厚豚骨魚介、連日行列,https://tabelog.com/tokyo/A1302/A130201/13093047
むぎとオリーブ 銀座本店,東京都,中央区,中央区・東銀座駅,醤油・蛤,貝・魚介系/醤油・中華そば,3.77,百名店,蛤SOBAで著名、百名店常連,https://tabelog.com/tokyo/A1301/A130101/13164932
メンドコロ キナリ,東京都,中野区,中野区・東中野駅,醤油/塩/山椒白醤油・つけ麺,つけ麺/塩/醤油・中華そば,3.77,ビブグルマン;百名店,JR東口1分、区内総合力トップ格,https://tabelog.com/tokyo/A1319/A131901/13221001
支那ソバ かづ屋,東京都,品川区,品川区・目黒駅,醤油・ワンタン麺,ワンタン麺/醤油・中華そば,3.77,,目黒を代表する老舗名店,https://tabelog.com/ramen/tokyo/A1316/A131601/rank
竹末東京Premium,東京都,墨田区,墨田区・押上〈スカイツリー前〉駅,鶏ホタテ（醤油・塩）,塩/醤油・中華そば,3.77,百名店,栃木「竹末食堂」直営、エリア随一の名店／A2 7分,https://tabelog.com/tokyo/A1312/A131203/13167920
らぁめん 葉月（はづき）,東京都,大田区,大田区・雪が谷大塚駅・石川台駅,自家製の魚介・貝・丸鶏（淡麗）,貝・魚介系,3.77,,麺・具まで全て自家製／雪が谷大塚4分・月火休,https://tabelog.com/ramen/tokyo/A1317/A131711/rank
つけ麺 五ノ神製作所,東京都,新宿区,新宿区・新宿三丁目駅,つけ麺・海老,つけ麺/貝・魚介系,3.77,,濃厚海老つけ麺の有名店,https://tabelog.com/ramen/tokyo/A1304/A130401/rank
SOBA HOUSE 金色不如帰 新宿御苑本店,東京都,新宿区,新宿区・新宿御苑前駅,塩・醤油（蛤・真鯛）,貝・魚介系/塩/醤油・中華そば,3.77,ミシュラン星,ミシュラン一つ星の世界的名店,https://tabelog.com/tokyo/A1304/A130402/13222172
春木屋 荻窪本店,東京都,杉並区,杉並区・荻窪駅,醤油（東京ラーメン）,醤油・中華そば,3.77,,"1949年創業、""荻窪系""醤油の草分け",https://tabelog.com/tokyo/A1319/A131906/13001099
初代 健太 東京高円寺本店,東京都,杉並区,杉並区・高円寺駅,博多豚骨（長浜）,豚骨・博多,3.77,,替え玉ルールが名物,https://tabelog.com/tokyo/A1319/A131904/13183596
はつね,東京都,杉並区,杉並区・西荻窪駅,タンメン,ご当地・地域系,3.77,百名店,1961年創業、透き通る名物タンメン,https://tabelog.com/tokyo/A1319/A131907/13000717
RAMEN CiQUE（チキュウ）,東京都,杉並区,杉並区・南阿佐ケ谷駅,淡麗塩・白醤油,塩/醤油・中華そば,3.77,百名店,モンゴル産塩×昆布・貝・節の繊細淡麗、6席,https://tabelog.com/tokyo/A1319/A131905/13048520
スパイス・ラー麺 卍力 西葛西店,東京都,江戸川区,江戸川区・西葛西駅,スパイスラーメン,ご当地・地域系,3.77,百名店,14種スパイス配合、北口すぐ,https://tabelog.com/tokyo/A1313/A131305/13168253
亀戸煮干中華蕎麦 つきひ,東京都,江東区,江東区・亀戸駅,煮干し（濃厚）,煮干し,3.77,,煮干し激戦区・亀戸の代表／北口3分,https://tabelog.com/tokyo/A1312/A131202/13217695
麺 ふじさき,東京都,江東区,江東区・亀戸駅,ラーメン・つけ麺,つけ麺,3.77,,高評価の実力店,https://tabelog.com/tokyo/A1312/A131202/13276443
麺屋 周郷,東京都,港区,港区・新橋駅,つけ麺,つけ麺,3.77,,濃厚魚介つけ麺専門,https://tabelog.com/ramen/tokyo/A1301/A130103/rank
ラーメン二郎 三田本店,東京都,港区,港区・田町駅,二郎系,二郎・二郎系,3.77,,二郎の総本山,https://tabelog.com/ramen/tokyo/A1314/A131402/rank
鴨出汁中華蕎麦 麺屋yoshiki,東京都,葛飾区,葛飾区・新小岩駅,鴨出汁中華蕎麦・つけ蕎麦,つけ麺/鴨/醤油・中華そば,3.77,百名店,一燈出身の独立店、「最上鴨中華蕎麦」,https://tabelog.com/tokyo/A1312/A131204/13242295
中華蕎麦 時雨 伊勢佐木長者町本店,神奈川県,横浜中心部,横浜中心部,和出汁中華そば,醤油・中華そば,3.77,百名店,和割烹的な上品な出汁,https://tabelog.com/kanagawa/A1401/A140104/14067138
ラーメン 杉田家 本店,神奈川県,横浜南西部,横浜南西部・新杉田駅,家系,家系,3.77,,吉村家直系1号店、家系の総本山格、早朝5時〜・日休,https://tabelog.com/kanagawa/A1401/A140308/14000917
うまいヨゆうちゃんラーメン,神奈川県,県央・相模原,県央・相模原・大和駅,豚骨,豚骨・博多,3.77,百名店,TRY豚骨部門6連覇・百名店、大和市最高評価（駅13〜15分）,https://tabelog.com/kanagawa/A1407/A140702/14057313
次念序（じねんじょ）,埼玉県,埼玉,埼玉・鴻巣駅,濃厚魚介豚骨つけ麺（六厘舎系）,つけ麺/豚骨・博多/貝・魚介系,3.76,百名店,EAST百名店、極太もちもち麺＋濃厚つけ汁、西口10分,https://tabelog.com/saitama/A1104/A110401/R3865/rstLst/ramen
頑者（がんじゃ）本店,埼玉県,川越・東武東上線,川越・東武東上線・川越駅,つけ麺,つけ麺,3.76,,川越つけ麺の代名詞、極太麺×濃厚魚介豚骨（本川越寄り）,https://tabelog.com/saitama/A1103/A110303
寿製麺 よしかわ 川越店,埼玉県,川越・東武東上線,川越・東武東上線・南大塚駅,煮干し中華そば,煮干し/醤油・中華そば,3.76,百名店,川越エリア1位、煮干し系の超人気店、南大塚最寄り,https://tabelog.com/saitama/A1103/A110303/11040851
味噌麺処 花道庵,東京都,中野区,中野区・野方駅,味噌・つけ麺,つけ麺/味噌,3.76,,とろみのある個性派味噌、朝営業も,https://tabelog.com/tokyo/A1321/A132104/13055183
塩生姜らー麺専門店 MANNISH 淡路町本店,東京都,千代田区,千代田区・淡路町駅,塩（生姜）,塩,3.76,,生姜の効いた塩らー麺の専門店,https://tabelog.com/ramen/tokyo/A1310/A131002/rank
ラーメン大至,東京都,千代田区,千代田区・御茶ノ水駅,醤油,醤油・中華そば,3.76,,御茶ノ水〜末広町の老舗系中華そば,https://tabelog.com/ramen/tokyo/A1310/A131002/rank
豊栄（ほうえい）,東京都,文京区,文京区・本駒込駅,中華・担々麺,担々麺・四川・麻婆,3.76,,担々麺が評判の人気中華／2番出口すぐ,https://tabelog.com/tokyo/A1323/A132301/R9112/rstLst/MC01
